company,ticker,fiscal_year,metric,value_usd,xbrl_tag,form,filed,period_end,accession
Alphabet,GOOGL,2023,revenue,307394000000,Revenues,10-K,2026-02-05,2023-12-31,0001652044-26-000018
Alphabet,GOOGL,2024,revenue,350018000000,Revenues,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,revenue,402836000000,Revenues,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,operating_income,84293000000,OperatingIncomeLoss,10-K,2026-02-05,2023-12-31,0001652044-26-000018
Alphabet,GOOGL,2024,operating_income,112390000000,OperatingIncomeLoss,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,operating_income,129039000000,OperatingIncomeLoss,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,net_income,73795000000,NetIncomeLoss,10-K,2026-02-05,2023-12-31,0001652044-26-000018
Alphabet,GOOGL,2024,net_income,100118000000,NetIncomeLoss,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,net_income,132170000000,NetIncomeLoss,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,operating_cash_flow,101746000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-05,2023-12-31,0001652044-26-000018
Alphabet,GOOGL,2024,operating_cash_flow,125299000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,operating_cash_flow,164713000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,capex,32251000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-02-05,2023-12-31,0001652044-26-000018
Alphabet,GOOGL,2024,capex,52535000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,capex,91447000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,cash_and_equivalents,24048000000,CashAndCashEquivalentsAtCarryingValue,10-K,2025-02-05,2023-12-31,0001652044-25-000014
Alphabet,GOOGL,2024,cash_and_equivalents,23466000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,cash_and_equivalents,30708000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Alphabet,GOOGL,2023,long_term_debt,11870000000,LongTermDebtNoncurrent,10-K,2025-02-05,2023-12-31,0001652044-25-000014
Alphabet,GOOGL,2024,long_term_debt,10883000000,LongTermDebtNoncurrent,10-K,2026-02-05,2024-12-31,0001652044-26-000018
Alphabet,GOOGL,2025,long_term_debt,46547000000,LongTermDebtNoncurrent,10-K,2026-02-05,2025-12-31,0001652044-26-000018
Meta,META,2023,revenue,134902000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,revenue,164501000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,revenue,200966000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,operating_income,46751000000,OperatingIncomeLoss,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,operating_income,69380000000,OperatingIncomeLoss,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,operating_income,83276000000,OperatingIncomeLoss,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,net_income,39098000000,NetIncomeLoss,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,net_income,62360000000,NetIncomeLoss,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,net_income,60458000000,NetIncomeLoss,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,operating_cash_flow,71113000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,operating_cash_flow,91328000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,operating_cash_flow,115800000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,capex,27045000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,capex,37256000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,capex,69691000000,PaymentsToAcquirePropertyPlantAndEquipment,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,cash_and_equivalents,41862000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-01-29,2023-12-31,0001628280-26-003942
Meta,META,2024,cash_and_equivalents,43889000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,cash_and_equivalents,35873000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Meta,META,2023,long_term_debt,18385000000,LongTermDebtNoncurrent,10-K,2025-01-30,2023-12-31,0001326801-25-000017
Meta,META,2024,long_term_debt,28826000000,LongTermDebtNoncurrent,10-K,2026-01-29,2024-12-31,0001628280-26-003942
Meta,META,2025,long_term_debt,58744000000,LongTermDebtNoncurrent,10-K,2026-01-29,2025-12-31,0001628280-26-003942
Amazon,AMZN,2023,revenue,574785000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-02-06,2023-12-31,0001018724-26-000004
Amazon,AMZN,2024,revenue,637959000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,revenue,716924000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,operating_income,36852000000,OperatingIncomeLoss,10-K,2026-02-06,2023-12-31,0001018724-26-000004
Amazon,AMZN,2024,operating_income,68593000000,OperatingIncomeLoss,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,operating_income,79975000000,OperatingIncomeLoss,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,net_income,30425000000,NetIncomeLoss,10-K,2026-02-06,2023-12-31,0001018724-26-000004
Amazon,AMZN,2024,net_income,59248000000,NetIncomeLoss,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,net_income,77670000000,NetIncomeLoss,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,operating_cash_flow,84946000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-06,2023-12-31,0001018724-26-000004
Amazon,AMZN,2024,operating_cash_flow,115877000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,operating_cash_flow,139514000000,NetCashProvidedByUsedInOperatingActivities,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,capex,52729000000,PaymentsToAcquireProductiveAssets,10-K,2026-02-06,2023-12-31,0001018724-26-000004
Amazon,AMZN,2024,capex,82999000000,PaymentsToAcquireProductiveAssets,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,capex,131819000000,PaymentsToAcquireProductiveAssets,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,cash_and_equivalents,73387000000,CashAndCashEquivalentsAtCarryingValue,10-K,2025-02-07,2023-12-31,0001018724-25-000004
Amazon,AMZN,2024,cash_and_equivalents,78779000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,cash_and_equivalents,86810000000,CashAndCashEquivalentsAtCarryingValue,10-K,2026-02-06,2025-12-31,0001018724-26-000004
Amazon,AMZN,2023,long_term_debt,58314000000,LongTermDebtNoncurrent,10-K,2025-02-07,2023-12-31,0001018724-25-000004
Amazon,AMZN,2024,long_term_debt,52623000000,LongTermDebtNoncurrent,10-K,2026-02-06,2024-12-31,0001018724-26-000004
Amazon,AMZN,2025,long_term_debt,65648000000,LongTermDebtNoncurrent,10-K,2026-02-06,2025-12-31,0001018724-26-000004
