company,ticker,fiscal_year,fiscal_period,capex,cash_and_equivalents,long_term_debt,net_income,operating_cash_flow,operating_income,revenue,free_cash_flow,operating_margin,net_margin
Alphabet,GOOGL,2023,FY,32251000000,24048000000,11870000000,73795000000,101746000000,84293000000,307394000000,69495000000,0.27421810445226646,0.24006649446638517
Alphabet,GOOGL,2024,FY,52535000000,23466000000,10883000000,100118000000,125299000000,112390000000,350018000000,72764000000,0.32109777211457696,0.28603671811164
Alphabet,GOOGL,2025,FY,91447000000,30708000000,46547000000,132170000000,164713000000,129039000000,402836000000,73266000000,0.32032638592380025,0.3280987796522654
Alphabet,GOOGL,2025,Q1,17197000000,23264000000,10886000000,34540000000,36150000000,30606000000,90234000000,18953000000,0.3391847862224882,0.38278254316554733
Alphabet,GOOGL,2025,Q2,39643000000,21036000000,23607000000,62736000000,63897000000,61877000000,186662000000,24254000000,0.3314922158768255,0.33609411663863026
Alphabet,GOOGL,2026,Q1,35674000000,38063000000,77501000000,62578000000,45790000000,39696000000,109896000000,10116000000,0.36121423891679405,0.5694292785906675
Alphabet,GOOGL,2026,Q2,80598000000,55911000000,98165000000,174771000000,84859000000,80466000000,229692000000,4261000000,0.3503212998275952,0.7608928478135939
Amazon,AMZN,2023,FY,52729000000,73387000000,58314000000,30425000000,84946000000,36852000000,574785000000,32217000000,0.0641144079960333,0.05293283575597832
Amazon,AMZN,2024,FY,82999000000,78779000000,52623000000,59248000000,115877000000,68593000000,637959000000,32878000000,0.1075194487420038,0.09287117197186653
Amazon,AMZN,2025,FY,131819000000,86810000000,65648000000,77670000000,139514000000,79975000000,716924000000,7695000000,0.11155296795755199,0.10833784334183261
Amazon,AMZN,2025,Q1,25019000000,66207000000,53374000000,17127000000,17015000000,18405000000,155667000000,-8004000000,0.11823315153500742,0.1100233190078822
Amazon,AMZN,2025,Q2,57202000000,57741000000,50718000000,35291000000,49530000000,37576000000,323369000000,-7672000000,0.11620161487341087,0.10913538403495697
Amazon,AMZN,2026,Q1,44203000000,101816000000,119074000000,30255000000,26032000000,23852000000,181519000000,-18171000000,0.13140222235688825,0.16667676661947234
Amazon,AMZN,2026,Q2,98411000000,78213000000,128894000000,92902000000,71419000000,51313000000,382125000000,-26992000000,0.1342832842656199,0.24311939810271507
Meta,META,2023,FY,27266000000,41862000000,18385000000,39098000000,71113000000,46751000000,134902000000,43847000000,0.3465552771641636,0.28982520644616094
Meta,META,2024,FY,37256000000,43889000000,28826000000,62360000000,91328000000,69380000000,164501000000,54072000000,0.42176035404040096,0.3790858414234564
Meta,META,2025,FY,69691000000,35873000000,58744000000,60458000000,115800000000,83276000000,200966000000,46109000000,0.41437855159579234,0.3008369574952977
Meta,META,2025,Q1,12941000000,28750000000,28829000000,16644000000,24026000000,17555000000,42314000000,11085000000,0.414874509618566,0.39334499220116276
Meta,META,2025,Q2,29479000000,12005000000,28832000000,34981000000,49587000000,37997000000,89830000000,20108000000,0.42298786596905263,0.3894133363019036
Meta,META,2026,Q1,18997000000,23426000000,58748000000,26773000000,32226000000,22872000000,56311000000,13229000000,0.40617286143027115,0.47544884658414877
Meta,META,2026,Q2,49113000000,15462000000,83664000000,42621000000,64088000000,41647000000,117111000000,14975000000,0.3556198819922979,0.3639367779286318
